epoch,core,seed,false_flag
2,equiformer_v2,2,0.827
3,equiformer_v2,2,0.6
4,equiformer_v2,2,0.734
5,equiformer_v2,2,0.8005
6,equiformer_v2,2,0.7555
7,equiformer_v2,2,0.822
8,equiformer_v2,2,0.867
9,equiformer_v2,2,0.608
10,equiformer_v2,2,0.7845
11,equiformer_v2,2,0.7095
12,equiformer_v2,2,0.6905
13,equiformer_v2,2,0.548
14,equiformer_v2,2,0.755
15,equiformer_v2,2,0.7345
16,equiformer_v2,2,0.751
17,equiformer_v2,2,0.574
18,equiformer_v2,2,0.831
19,equiformer_v2,2,0.663
20,equiformer_v2,2,0.7785
21,equiformer_v2,2,0.6825
22,equiformer_v2,2,0.826
23,equiformer_v2,2,0.879
24,equiformer_v2,2,0.7075
25,equiformer_v2,2,0.589
26,equiformer_v2,2,0.875
27,equiformer_v2,2,0.7785
28,equiformer_v2,2,0.8755
29,equiformer_v2,2,0.635
30,equiformer_v2,2,0.7015
31,equiformer_v2,2,0.8285
32,equiformer_v2,2,0.812
33,equiformer_v2,2,0.858
34,equiformer_v2,2,0.868
35,equiformer_v2,2,0.8765
36,equiformer_v2,2,0.8765
37,equiformer_v2,2,0.8165
38,equiformer_v2,2,0.849
39,equiformer_v2,2,0.8355
40,equiformer_v2,2,0.8495
41,equiformer_v2,2,0.871
42,equiformer_v2,2,0.8355
43,equiformer_v2,2,0.8595
44,equiformer_v2,2,0.86
45,equiformer_v2,2,0.865
46,equiformer_v2,2,0.894
47,equiformer_v2,2,0.9005
48,equiformer_v2,2,0.9005
49,equiformer_v2,2,0.901
50,equiformer_v2,2,0.908
51,equiformer_v2,2,0.9185
52,equiformer_v2,2,0.9265
53,equiformer_v2,2,0.903
54,equiformer_v2,2,0.923
55,equiformer_v2,2,0.934
56,equiformer_v2,2,0.94
57,equiformer_v2,2,0.944
58,equiformer_v2,2,0.956
59,equiformer_v2,2,0.956
60,equiformer_v2,2,0.9615
61,equiformer_v2,2,0.9565
62,equiformer_v2,2,0.963
63,equiformer_v2,2,0.9555
64,equiformer_v2,2,0.901
65,equiformer_v2,2,0.924
66,equiformer_v2,2,0.941
67,equiformer_v2,2,0.9485
68,equiformer_v2,2,0.943
69,equiformer_v2,2,0.9405
70,equiformer_v2,2,0.962
71,equiformer_v2,2,0.966
72,equiformer_v2,2,0.9605
73,equiformer_v2,2,0.9525
74,equiformer_v2,2,0.9555
75,equiformer_v2,2,0.945
76,equiformer_v2,2,0.95
77,equiformer_v2,2,0.9545
78,equiformer_v2,2,0.952
79,equiformer_v2,2,0.9545
80,equiformer_v2,2,0.958
81,equiformer_v2,2,0.9555
82,equiformer_v2,2,0.955
83,equiformer_v2,2,0.9525
84,equiformer_v2,2,0.9545
85,equiformer_v2,2,0.956
86,equiformer_v2,2,0.9585
87,equiformer_v2,2,0.9585
88,equiformer_v2,2,0.953
89,equiformer_v2,2,0.956
90,equiformer_v2,2,0.953
91,equiformer_v2,2,0.955
92,equiformer_v2,2,0.9565
93,equiformer_v2,2,0.958
94,equiformer_v2,2,0.9545
95,equiformer_v2,2,0.959
96,equiformer_v2,2,0.9625
97,equiformer_v2,2,0.9595
98,equiformer_v2,2,0.953
99,equiformer_v2,2,0.955
100,equiformer_v2,2,0.958
101,equiformer_v2,2,0.957
102,equiformer_v2,2,0.9565
103,equiformer_v2,2,0.951
104,equiformer_v2,2,0.955
105,equiformer_v2,2,0.958
106,equiformer_v2,2,0.9555
107,equiformer_v2,2,0.9565
108,equiformer_v2,2,0.956
109,equiformer_v2,2,0.9565
110,equiformer_v2,2,0.9565
111,equiformer_v2,2,0.958
112,equiformer_v2,2,0.951
113,equiformer_v2,2,0.9535
114,equiformer_v2,2,0.9615
115,equiformer_v2,2,0.9575
116,equiformer_v2,2,0.962
117,equiformer_v2,2,0.955
118,equiformer_v2,2,0.9605
119,equiformer_v2,2,0.9565
120,equiformer_v2,2,0.9595
121,equiformer_v2,2,0.9545
122,equiformer_v2,2,0.96
123,equiformer_v2,2,0.9525
124,equiformer_v2,2,0.9585
125,equiformer_v2,2,0.954
126,equiformer_v2,2,0.9585
127,equiformer_v2,2,0.958
128,equiformer_v2,2,0.958
129,equiformer_v2,2,0.951
130,equiformer_v2,2,0.9615
131,equiformer_v2,2,0.9575
132,equiformer_v2,2,0.958
133,equiformer_v2,2,0.9585
134,equiformer_v2,2,0.961
135,equiformer_v2,2,0.9565
136,equiformer_v2,2,0.9585
137,equiformer_v2,2,0.9555
138,equiformer_v2,2,0.9585
139,equiformer_v2,2,0.9565
140,equiformer_v2,2,0.958
141,equiformer_v2,2,0.9555
142,equiformer_v2,2,0.958
143,equiformer_v2,2,0.9575
144,equiformer_v2,2,0.9445
145,equiformer_v2,2,0.9565
146,equiformer_v2,2,0.9535
147,equiformer_v2,2,0.9555
148,equiformer_v2,2,0.9545
149,equiformer_v2,2,0.957
150,equiformer_v2,2,0.9595
1,mace,0,0.223
2,mace,0,0.537
3,mace,0,0.773
4,mace,0,0.8575
5,mace,0,0.8795
6,mace,0,0.8935
7,mace,0,0.8955
8,mace,0,0.895
9,mace,0,0.8975
10,mace,0,0.8995
11,mace,0,0.9005
12,mace,0,0.9035
13,mace,0,0.904
14,mace,0,0.904
15,mace,0,0.9065
16,mace,0,0.906
17,mace,0,0.9075
18,mace,0,0.9065
19,mace,0,0.9045
20,mace,0,0.907
21,mace,0,0.9045
22,mace,0,0.9085
23,mace,0,0.9035
24,mace,0,0.9055
25,mace,0,0.9045
26,mace,0,0.9075
27,mace,0,0.905
28,mace,0,0.9055
29,mace,0,0.905
30,mace,0,0.9035
31,mace,0,0.907
32,mace,0,0.9065
33,mace,0,0.9055
34,mace,0,0.907
35,mace,0,0.906
36,mace,0,0.906
37,mace,0,0.9025
38,mace,0,0.9075
39,mace,0,0.9065
40,mace,0,0.9065
41,mace,0,0.9065
42,mace,0,0.9095
43,mace,0,0.9065
44,mace,0,0.9085
45,mace,0,0.9075
46,mace,0,0.9075
47,mace,0,0.9075
48,mace,0,0.9075
49,mace,0,0.9055
50,mace,0,0.9075
51,mace,0,0.909
52,mace,0,0.906
53,mace,0,0.9075
54,mace,0,0.908
55,mace,0,0.905
56,mace,0,0.91
57,mace,0,0.907
58,mace,0,0.907
59,mace,0,0.9075
60,mace,0,0.908
61,mace,0,0.9075
62,mace,0,0.907
